id,name,slug,body_part,equipment,image_path,gif_path,instructions
0000983e-577b-4529-9b06-b8663564e4ec,Side-Lying Floor Stretch,Side-Lying_Floor_Stretch,lats,,Side-Lying_Floor_Stretch/0.jpg,Side-Lying_Floor_Stretch/0.jpg,"First lie on your left side, bending your left knee in front of you to stabilize your torso (use your abdominal muscles as well to hold you upright).
Straighten your right leg and rest the right foot on the floor behind your left. Straighten your right arm over your head and gently pull on your right wrist to stretch the entire right side of the body. Switch sides."
00320ccd-2b50-4e13-90cb-d25c0f81eb51,Cable Reverse Crunch,Cable_Reverse_Crunch,abdominals,cable,Cable_Reverse_Crunch/0.jpg,Cable_Reverse_Crunch/0.jpg,"Connect an ankle strap attachment to a low pulley cable and position a mat on the floor in front of it.
Sit down with your feet toward the pulley and attach the cable to your ankles.
Lie down, elevate your legs and bend your knees at a 90-degree angle. Your legs and the cable should be aligned. If not, adjust the pulley up or down until they are.
With your hands behind your head, bring your knees inward to your torso and elevate your hips off the floor.
Pause for a moment and in a slow and controlled manner drop your hips and bring your legs back to the starting 90-degree angle. You should still have tension on your abs in the resting position.
Repeat the same movement to failure."
00b34db4-859f-49ec-b8d2-849b25e1261a,Single-Cone Sprint Drill,Single-Cone_Sprint_Drill,quadriceps,other,Single-Cone_Sprint_Drill/0.jpg,Single-Cone_Sprint_Drill/0.jpg,"This drill teaches quick foot action. You need a single cone. Begin standing next to the cone with one arm back and one arm forward.
Chop the feet as quickly as possible, blocking with the arms. Circle the cone, keep your knees up, with violent foot action.
Rest after three trips around the cone."
01b43115-cb95-4013-aed1-c12e1b49a821,Split Jump,Split_Jump,quadriceps,body only,Split_Jump/0.jpg,Split_Jump/0.jpg,"Assume a lunge stance position with one foot forward with the knee bent, and the rear knee nearly touching the ground.
Ensure that the front knee is over the midline of the foot.
Extending through both legs, jump as high as possible, swinging your arms to gain lift.
As you jump, bring your feet together, and move them back to their initial positions as you land.
Absorb the impact by reverting back to the starting position."
01b91864-6e18-489d-a96e-f35790bb3163,Palms-Down Wrist Curl Over A Bench,Palms-Down_Wrist_Curl_Over_A_Bench,forearms,barbell,Palms-Down_Wrist_Curl_Over_A_Bench/0.jpg,Palms-Down_Wrist_Curl_Over_A_Bench/0.jpg,"Start out by placing a barbell on one side of a flat bench.
Kneel down on both of your knees so that your body is facing the flat bench.
Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.
Start out by curling your wrist upwards and exhaling.
Slowly lower your wrists back down to the starting position while inhaling.
Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.
Repeat for the recommended amount of repetitions."
01bddaeb-d914-448e-96ee-6cde65f3a66d,Dumbbell Alternate Bicep Curl,Dumbbell_Alternate_Bicep_Curl,biceps,dumbbell,Dumbbell_Alternate_Bicep_Curl/0.jpg,Dumbbell_Alternate_Bicep_Curl/0.jpg,"Stand (torso upright) with a dumbbell in each hand held at arms length. The elbows should be close to the torso and the palms of your hand should be facing your thighs.
While holding the upper arm stationary, curl the right weight as you rotate the palm of the hands until they are facing forward. At this point continue contracting the biceps as you breathe out until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.
Slowly begin to bring the dumbbell back to the starting position as your breathe in. Tip: Remember to twist the palms back to the starting position (facing your thighs) as you come down.
Repeat the movement with the left hand. This equals one repetition.
Continue alternating in this manner for the recommended amount of repetitions."
01fbee1b-4772-4e56-9c90-fdd629d062e5,Push Up to Side Plank,Push_Up_to_Side_Plank,chest,body only,Push_Up_to_Side_Plank/0.jpg,Push_Up_to_Side_Plank/0.jpg,"Get into pushup position on the toes with your hands just outside of shoulder width.
Perform a pushup by allowing the elbows to flex. As you descend, keep your body straight.
Do one pushup and as you come up, shift your weight on the left side of the body, twist to the side while bringing the right arm up towards the ceiling in a side plank.
Lower the arm back to the floor for another pushup and then twist to the other side.
Repeat the series, alternating each side, for 10 or more reps."
024add4b-208a-402f-9dc7-5a8bba08cef7,Single-Leg Hop Progression,Single-Leg_Hop_Progression,quadriceps,other,Single-Leg_Hop_Progression/0.jpg,Single-Leg_Hop_Progression/0.jpg,"Arrange a line of cones in front of you. Assume a relaxed standing position, balanced on one leg. Raise the knee of your opposite leg. This will be your starting position.
Hop forward, jumping and landing with the same leg over the cone.
Use a countermovement jump to hop from cone to cone.
At the end, turn around and go back on the other leg."
0281fe2e-f1dc-4554-9d18-ae0352f30eef,London Bridges,London_Bridges,lats,other,London_Bridges/0.jpg,London_Bridges/0.jpg,"Attach a climbing rope to a high beam or cross member. Below it, ensure that the smith machine bar is locked in place with the safeties and cannot move. Alternatively, a secure box could also be utilized.
Stand on the bar, using the rope to balance yourself. This will be your starting position.
Keeping your body straight, lean back and lower your body by slowly going hand over hand with the rope. Continue until you are perpendicular to the ground.
Keeping your body straight, reverse the motion, going hand over hand back to the starting position."
0299e68f-b5c8-458f-ac97-9fcf065a6fdf,Weighted Ball Hyperextension,Weighted_Ball_Hyperextension,lower back,exercise ball,Weighted_Ball_Hyperextension/0.jpg,Weighted_Ball_Hyperextension/0.jpg,"To begin, lie down on an exercise ball with your torso pressing against the ball and parallel to the floor. The ball of your feet should be pressed against the floor to help keep you balanced. Place a weighted plate under your chin or behind your neck. This is the starting position.
Slowly raise your torso up by bending at the waist and lower back. Remember to exhale during this movement.
Hold the contraction on your lower back for a second and lower your torso back down to the starting position while inhaling.
Repeat for the recommended amount of repetitions prescribed in your program."
03378145-0a16-42b5-a6f7-e77ceded149d,Alternating Kettlebell Row,Alternating_Kettlebell_Row,middle back,kettlebells,Alternating_Kettlebell_Row/0.jpg,Alternating_Kettlebell_Row/0.jpg,"Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.
Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage.
Lower the kettlebell in the working arm and repeat with your other arm."
033b110a-5c7d-489f-9ea9-be0c71bda7ec,Decline Close-Grip Bench To Skull Crusher,Decline_Close-Grip_Bench_To_Skull_Crusher,triceps,barbell,Decline_Close-Grip_Bench_To_Skull_Crusher/0.jpg,Decline_Close-Grip_Bench_To_Skull_Crusher/0.jpg,"Secure your legs at the end of the decline bench and slowly lay down on the bench.
Using a close grip (a grip that is slightly less than shoulder width), lift the bar from the rack and hold it straight over you with your arms locked and elbows in. The arms should be perpendicular to the floor. This will be your starting position. Tip: In order to protect your rotator cuff, it is best if you have a spotter help you lift the barbell off the rack.
Now lower the bar down to your lower chest as you breathe in. Keep the elbows in as you perform this movement.
Using the triceps to push the bar back up, press it back to the starting position as you exhale.
As you breathe in and you keep the upper arms stationary, bring the bar down slowly by moving your forearms in a semicircular motion towards you until you feel the bar slightly touch your forehead. Breathe in as you perform this portion of the movement.
Lift the bar back to the starting position by contracting the triceps and exhaling.
Repeat steps 3-6 until the recommended amount of repetitions is performed."
0358eac3-32b7-4afa-a159-e34cca912363,Kettlebell Figure 8,Kettlebell_Figure_8,abdominals,kettlebells,Kettlebell_Figure_8/0.jpg,Kettlebell_Figure_8/0.jpg,"Place one kettlebell between your legs and take a wider than shoulder width stance. Bend over by pushing your butt out and keeping your back flat.
Pick up a kettlebell and pass it to your other hand between your legs. The receiving hand should reach from behind the legs. Go back and forth for several repetitions."
03675ff6-9619-4d19-8440-8daeecdf78a1,Lunge Pass Through,Lunge_Pass_Through,hamstrings,kettlebells,Lunge_Pass_Through/0.jpg,Lunge_Pass_Through/0.jpg,"Stand with your torso upright holding a kettlebell in your right hand. This will be your starting position.
Step forward with your left foot and lower your upper body down by flexing the hip and the knee, keeping the torso upright. Lower your back knee until it nearly touches the ground.
As you lunge, pass the kettlebell under your front leg to your opposite hand.
Pressing through the heel of your foot, return to the starting position.
Repeat the movement for the recommended amount of repetitions, alternating legs."
048b8e97-5548-4909-9a7d-329ab8cb0f59,Side Wrist Pull,Side_Wrist_Pull,shoulders,,Side_Wrist_Pull/0.jpg,Side_Wrist_Pull/0.jpg,"This stretch works best standing. Cross your left arm over the midline of your body and hold the left wrist in your right hand down at the level of your hips. Start the stretch with a bent left arm.
Slowly straighten, pull, and lift it up to shoulder height, as pictured. Feel this stretch originate in your back, not your shoulders, and don't pull too hard on the shoulders joint. Switch sides."
054dbbbf-81cc-4deb-90e7-ca80a1c91183,Triceps Pushdown - V-Bar Attachment,Triceps_Pushdown_-_V-Bar_Attachment,triceps,cable,Triceps_Pushdown_-_V-Bar_Attachment/0.jpg,Triceps_Pushdown_-_V-Bar_Attachment/0.jpg,"Attach a V-Bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.
Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. The thumbs should be higher than the small finger. This is your starting position.
Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
After a second hold at the contracted position, bring the V-Bar slowly up to the starting point. Breathe in as you perform this step.
Repeat for the recommended amount of repetitions."
056fb0e8-52b7-42aa-8460-2daf1c85223b,Jefferson Squats,Jefferson_Squats,quadriceps,barbell,Jefferson_Squats/0.jpg,Jefferson_Squats/0.jpg,"Place a barbell on the floor.
Stand in the middle of the bar length wise.
Bend down by bending at the knees and keeping your back straight and grasp the front of the bar with your right hand. Your palm should be in (neutral grip) facing the left side.
Grasp the rear of the bar with your left hand. The palm of your hand should be in neutral grip alignment (palms facing the right side). Tip: Ensure that your grip is even on the bar. Your torso should be positioned right in the middle of the bar and the distance between your torso and your right hand (which should be at the front) should be the same as the distance between your torso and your left hand (which should be to your back).
Now stand straight up with the weight. Tip: Your feet should be shoulder width apart and your toes slightly pointed out.
Squat down by bending at the knees and keeping your back straight until your upper thighs are parallel with the floor. Tip: Keep your back as vertical as possible with the floor and your head up. Also remember to not let your knees go past your toes. Inhale during this portion of the movement.
Now drive yourself back up to the starting position by pushing with the feet . Tip: Keep the bar hanging at arm's length and your elbows locked with a slight bend. The arms only serve as hooks. Avoid doing any lifting with them. Do the lifting with your thighs; not your arms."
05a53b1d-720c-4e8d-ac8a-6dcf1cc15451,Spider Curl,Spider_Curl,biceps,e-z curl bar,Spider_Curl/0.jpg,Spider_Curl/0.jpg,"Start out by setting the bar on the part of the preacher bench that you would normally sit on. Make sure to align the barbell properly so that it is balanced and will not fall off.
Move to the front side of the preacher bench (the part where the arms usually lay) and position yourself to lay at a 45 degree slant with your torso and stomach pressed against the front side of the preacher bench.
Make sure that your feet (especially the toes) are well positioned on the floor and place your upper arms on top of the pad located on the inside part of the preacher bench.
Use your arms to grab the barbell with a supinated grip (palms facing up) at about shoulder width apart or slightly closer from each other.
Slowly begin to lift the barbell upwards and exhale. Hold the contracted position for a second as you squeeze the biceps.
Slowly begin to bring the barbell back to the starting position as your breathe in. .
Repeat for the recommended amount of repetitions."
06263e10-153e-48f4-83b1-1af76296a872,Triceps Overhead Extension with Rope,Triceps_Overhead_Extension_with_Rope,triceps,cable,Triceps_Overhead_Extension_with_Rope/0.jpg,Triceps_Overhead_Extension_with_Rope/0.jpg,"Attach a rope to a low pulley. After selecting an appropriate weight, grasp the rope with both hands and face away from the cable.
Position your hands behind your head with your elbows point straight up. Your elbows should start out flexed, and you can stagger your stance and lean gently away from the machine to create greater stability. This will be your starting position.
To perform the movement, extend through the elbow while keeping the upper arm in position, raising your hands above your head.
Squeeze your triceps at the top of the movement, and slowly lower the weight back to the start position."
0657be30-cd0e-43ca-8198-e90e164a8646,Cross Body Hammer Curl,Cross_Body_Hammer_Curl,biceps,dumbbell,Cross_Body_Hammer_Curl/0.jpg,Cross_Body_Hammer_Curl/0.jpg,"Stand up straight with a dumbbell in each hand. Your hands should be down at your side with your palms facing in.
While keeping your palms facing in and without twisting your arm, curl the dumbbell of the right arm up towards your left shoulder as you exhale. Touch the top of the dumbbell to your shoulder and hold the contraction for a second.
Slowly lower the dumbbell along the same path as you inhale and then repeat the same movement for the left arm.
Continue alternating in this fashion until the recommended amount of repetitions is performed for each arm."
067dea47-93a8-4cdc-a24a-2651ad1fadf5,Leg Extensions,Leg_Extensions,quadriceps,machine,Leg_Extensions/0.jpg,Leg_Extensions/0.jpg,"For this exercise you will need to use a leg extension machine. First choose your weight and sit on the machine with your legs under the pad (feet pointed forward) and the hands holding the side bars. This will be your starting position. Tip: You will need to adjust the pad so that it falls on top of your lower leg (just above your feet). Also, make sure that your legs form a 90-degree angle between the lower and upper leg. If the angle is less than 90-degrees then that means the knee is over the toes which in turn creates undue stress at the knee joint. If the machine is designed that way, either look for another machine or just make sure that when you start executing the exercise you stop going down once you hit the 90-degree angle.
Using your quadriceps, extend your legs to the maximum as you exhale. Ensure that the rest of the body remains stationary on the seat. Pause a second on the contracted position.
Slowly lower the weight back to the original position as you inhale, ensuring that you do not go past the 90-degree angle limit.
Repeat for the recommended amount of times."
06b3af43-5c17-4a45-986b-89e1bbe80f81,Lying Crossover,Lying_Crossover,abductors,body only,Lying_Crossover/0.jpg,Lying_Crossover/0.jpg,"Lie on your back with your legs extended.
Cross one leg over your body with the knee bent, attempting to touch the knee to the ground. Your partner should kneel beside you, holding your shoulder down with one hand and controlling the crossed leg with the other. this will be your starting position.
Attempt to raise the bent knee off of the ground as your partner prevents any actual movement.
After 10-20 seconds, relax the leg as your partner gently presses the knee towards the floor. Repeat with the other side."
0747a21f-157b-4929-9f51-a466f7ca1910,Lying Cable Curl,Lying_Cable_Curl,biceps,cable,Lying_Cable_Curl/0.jpg,Lying_Cable_Curl/0.jpg,"Grab a straight bar or E-Z bar attachment that is attached to the low pulley with both hands, using an underhand (palms facing up) shoulder-width grip.
Lie flat on your back on top of an exercise mat in front of the weight stack with your feet flat against the frame of the pulley machine and your legs straight.
With your arms extended and your elbows close to your body slightly bend your arms. This will be your starting position.
While keeping your upper arms stationary and the elbows close to your body, curl the bar up slowly toward your chest as you breathe out and you squeeze the biceps.
After a second squeeze at the top of the movement, slowly return to the starting position.
Repeat for the recommended amount of repetitions."
